Item,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. Tài sản ngắn hạn khác,558968500.0,360164305.0,246827481.0,140005347.0,0.0,1915640337.0,2460415151.0,2013152996.0,1089694168.0,2221455885.0,1888172447.0,1916984763.0,916098340.0,2837735347.0,1679762874.0,2744050902.0,2514974725.0,9744863417.0,2145317377.0,1596400380.0,1219697883.0,2513386157.0,2440582400.0,2796350219.0,1588088935.0,2156545689.0,3229291769.0,3245936924.0,2017148802.0,5341656072.0,5049346127.0,4648861991.0,3852677883.0,4210008741.0,3674112256.0,4234750609.0,4879557926.0,6009864847.0,3029793261.0,7881459038.0,8914490585.0,186794686.0,91520840.0,60435424.0,0.0,259909157.0,309539069.0,297134473.0,128790942.0,298210602.0,292271471.0,360688484.0,1861111295.0,2018635433.0,1951333052.0,1929550817.0,1842208388.0,1835205060.0,2005877698.0,1961190074.0,1922819231.0,2052725361.0,2089308521.0,2062079816.0,2020741440.0,2823947374.0,2526518016.0,2350187303.0,7771272436.0,9829488979.0
1. Chi phí trả trước ngắn hạn,0.0,0.0,0.0,,0.0,0.0,323594811.0,174579827.0,0.0,416387634.0,,165652423.0,,257629529.0,,178021483.0,,0.0,8086819.0,65526156.0,0.0,296385309.0,234108104.0,109853202.0,0.0,230475001.0,153650002.0,76825003.0,0.0,234127499.0,156084998.0,102375830.0,0.0,187349999.0,126424998.0,74599997.0,0.0,163762501.0,109175002.0,79017503.0,0.0,137281253.0,91520840.0,60435424.0,0.0,149625003.0,99750006.0,49875007.0,0.0,84765001.0,56510002.0,28255002.0,0.0,97361665.0,65296663.0,33231663.0,0.0,0.0,45962504.0,22981254.0,0.0,0.0,40363635.0,20181816.0,0.0,748305455.0,448598416.0,227108990.0,22348034.0,279605401.0
2. Thuế giá trị gia tăng được khấu trừ,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,164953627.0,,342938437.0,,437132315.0,450932863.0,200656853.0,186001785.0,269322925.0,329857962.0,333054140.0,455293452.0,415020600.0,541757189.0,795265414.0,801872129.0,3587993497.0,3255863556.0,313214295.0,2985958129.0,2689652612.0,2510812680.0,2315650952.0,2040984200.0,1832205376.0,545961496.0,28981582.0,0.0,0.0,0.0,0.0,0.0,110284154.0,209542048.0,247012451.0,128543927.0,213198586.0,235514454.0,332186467.0,1860864280.0,1921026753.0,1885789374.0,1896072139.0,1841961373.0,1831258367.0,1959668179.0,1937961805.0,1922572216.0,2052478346.0,2048697871.0,2041650985.0,2020494425.0,2075394904.0,2077672585.0,2123078313.0,7748677387.0,9549636563.0
3. Thuế và các khoản phải thu Nhà nước,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,879730801.0,,350509182.0,,0.0,0.0,0.0,0.0,38047409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67311500.0,0.0,2694955776.0,2207474.0,2207474.0,2207474.0,2207474.0,2207474.0,0.0,0.0,2207474.0,0.0,49513433.0,0.0,0.0,0.0,0.0,247015.0,247015.0,247015.0,247015.0,247015.0,247015.0,247015.0,247015.0,247015.0,247015.0,247015.0,3946693.0,247015.0,247015.0,247015.0,247015.0,247015.0,247015.0,247015.0,247015.0,247015.0,0.0,247015.0,247015.0
4. Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Tài sản ngắn hạn khác,558968500.0,360164305.0,246827481.0,,0.0,1915640337.0,2136820340.0,1838573169.0,1089694168.0,1805068251.0,,1751332340.0,,1535421390.0,,1872581800.0,,9307731102.0,1686297695.0,1330217371.0,1033696098.0,1909630514.0,1876616334.0,2353442877.0,1132795483.0,1511050088.0,2533884578.0,2373846507.0,1215276673.0,1452223576.0,1637397573.0,1538316090.0,864512280.0,1330798656.0,1034667104.0,1842292186.0,2836366252.0,4013896970.0,2374656763.0,7771252479.0,8914490585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B. Tài sản cố định và đầu tư dài hạn,6415019834.0,6307940398.0,6232291234.0,6507377083.0,6654325231.0,6583848052.0,7301439975.0,5645086302.0,7587576220.0,29769855095.0,30617919297.0,31088628382.0,60168443606.0,8721895386.0,6431556091.0,4232489716.0,4189575369.0,32858723393.0,3977042055.0,16596813028.0,54776213869.0,930957376.0,768169238.0,422298013.0,296473917.0,10228098393.0,10195431538.0,10034093912.0,17760570441.0,86060475370.0,86066951899.0,86058428400.0,86340246582.0,99109974273.0,99672274273.0,99672274273.0,100404882673.0,100989482673.0,100991532673.0,102404167773.0,104163997046.0,118803022828.0,119645928282.0,117069886063.0,122316473182.0,124344793256.0,129282354110.0,130168513954.0,127503171199.0,129851234904.0,109683770431.0,110852668503.0,127785192522.0,130066139751.0,134602945253.0,135221836317.0,134811550129.0,149268779354.0,133702152854.0,165661513721.0,170522181939.0,224737653921.0,256229175003.0,257137610402.0,258346243061.0,275939481788.0,280272181814.0,288062492748.0,368016270247.0,30490480568.0
I. Các khoản phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1. Phải thu dài hạn của khách hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Vốn kinh doanh tại các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Phải thu dài hạn nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6. Dự phòng phải thu dài hạn khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II. Tài sản cố định,627790121.0,3252940398.0,3177291234.0,3111377083.0,3008325231.0,2943448052.0,3338839975.0,3482151183.0,3215380309.0,3130948769.0,3482262894.0,3789945363.0,3946031710.0,3810829957.0,3675628204.0,1364287395.0,1254664299.0,1145041203.0,1410435865.0,1249165320.0,1081489848.0,913814376.0,754699738.0,412502013.0,290351417.0,225649393.0,195431538.0,34093912.0,25570441.0,17046970.0,8523499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3699677728.0,3653431756.0,3607185784.0,3560939812.0,3514693840.0,3468447868.0,3422201896.0,3375955924.0,3329709952.0,3283463980.0,3237218008.0,3190972036.0,3144726064.0,3098480092.0,3052234120.0,3005988148.0
1. Tài sản cố định hữu hình,627790121.0,3252940398.0,3177291234.0,3111377083.0,3008325231.0,2943448052.0,3338839975.0,3482151183.0,3215380309.0,3130948769.0,3482262894.0,3789945363.0,3946031710.0,3810829957.0,3675628204.0,1364287395.0,1254664299.0,1145041203.0,1410435865.0,1249165320.0,1081489848.0,913814376.0,754699738.0,412502013.0,290351417.0,225649393.0,195431538.0,34093912.0,25570441.0,17046970.0,8523499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3699677728.0,3653431756.0,3607185784.0,3560939812.0,3514693840.0,3468447868.0,3422201896.0,3375955924.0,3329709952.0,3283463980.0,3237218008.0,3190972036.0,3144726064.0,3098480092.0,3052234120.0,3005988148.0
Nguyên giá,1616122035.0,4281589813.0,4281589813.0,,4141589813.0,4141589813.0,4613593053.0,4834068962.0,4638005169.0,4638005169.0,,4687045203.0,,4978319272.0,,2420453352.0,,2420453352.0,2803572392.0,2805390392.0,2805390392.0,2805390392.0,2815663392.0,2236642438.0,2236642438.0,2236642438.0,2236642438.0,1736523333.0,1736523333.0,1736523333.0,1412168501.0,1412168501.0,1412168501.0,1207605168.0,1207605168.0,1207605168.0,1207605168.0,1207605168.0,1207605168.0,1207605168.0,1049600918.0,1049600918.0,1049600918.0,1049600918.0,1049600918.0,1049600918.0,1049600918.0,1049600918.0,1049600918.0,1049600918.0,1049600918.0,1049600918.0,1049600918.0,1049600918.0,4749278646.0,4749278646.0,4749278646.0,4749278646.0,4749278646.0,4749278646.0,4749278646.0,4749278646.0,3699677728.0,3699677728.0,3699677728.0,3699677728.0,3699677728.0,3699677728.0,3699677728.0,3699677728.0
Giá trị hao mòn lũy kế,-988331914.0,-1028649415.0,-1104298579.0,,-1133264582.0,-1198141761.0,-1274753078.0,-1351917779.0,-1422624860.0,-1507056400.0,,-897099840.0,,-1167489315.0,,-1056165957.0,,-1275412149.0,-1393136527.0,-1556225072.0,-1723900544.0,-1891576016.0,-2060963654.0,-1824140425.0,-1946291021.0,-2010993045.0,-2041210900.0,-1702429421.0,-1710952892.0,-1719476363.0,-1403645002.0,-1412168501.0,-1412168501.0,-1207605168.0,-1207605168.0,-1207605168.0,-1207605168.0,-1207605168.0,-1207605168.0,-1207605168.0,-1049600918.0,-1049600918.0,-1049600918.0,-1049600918.0,-1049600918.0,-1049600918.0,-1049600918.0,-1049600918.0,-1049600918.0,-1049600918.0,-1049600918.0,-1049600918.0,-1049600918.0,-1049600918.0,-1049600918.0,-1095846890.0,-1142092862.0,-1188338834.0,-1234584806.0,-1280830778.0,-1327076750.0,-1373322722.0,-369967776.0,-416213748.0,-462459720.0,-508705692.0,-554951664.0,-601197636.0,-647443608.0,-693689580.0
2. Tài sản cố định thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giá trị hao mòn lũy kế,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Tài sản cố định vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giá trị hao mòn lũy kế,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III. Bất động sản đầu tư,2055000000.0,2055000000.0,2055000000.0,2055000000.0,2055000000.0,2055000000.0,2055000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá,2055000000.0,2055000000.0,2055000000.0,,2055000000.0,2055000000.0,2055000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giá trị hao mòn lũy kế,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV. Tài sản dở dang dài hạn,2732229713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430695890.0,623877708.0,623877708.0,623877708.0,787514072.0,923877708.0,991384308.0,991384308.0,623877708.0,623877708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68308428400.0,68323428400.0,68323428400.0,68605246582.0,81374974273.0,81937274273.0,81937274273.0,82669882673.0,83254482673.0,83256532673.0,84669167773.0,86428997046.0,101068022828.0,101910928282.0,99334886063.0,104401473182.0,106429793256.0,111367354110.0,112253513954.0,123588171199.0,126074014000.0,105906549527.0,107075447599.0,123870192522.0,126151139751.0,126927166434.0,127599941107.0,127851701968.0,128287158549.0,130142344835.0,162162871130.0,167084704774.0,221293514911.0,252899465051.0,253854146422.0,255109025053.0,272748509752.0,277127455750.0,284964012656.0,364964036127.0,27484492420.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,10417806238.0,10417806238.0,7803343116.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,11445586487.0,0.0
2. chi phí xây dựng cơ bản dở dang,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,84669167773.0,86428997046.0,90650216590.0,91493122044.0,91531542947.0,92955886695.0,94984206769.0,99921767623.0,100807927467.0,112142584712.0,114628427513.0,94460963040.0,95629861112.0,112424606035.0,114705553264.0,115481579947.0,116154354620.0,116406115481.0,116841572062.0,118696758348.0,150717284643.0,155639118287.0,209847928424.0,241453878564.0,242408559935.0,243663438566.0,261302923265.0,265681869263.0,273518426169.0,353518449640.0,27484492420.0
V. Các khoản đầu tư tài chính dài hạn,1000000000.0,1000000000.0,1000000000.0,1341000000.0,1591000000.0,1585400000.0,1907600000.0,2087600000.0,4289600000.0,26549600000.0,26549600000.0,26549600000.0,55462640000.0,4202580000.0,1912600000.0,1912600000.0,1912600000.0,30716210000.0,1912600000.0,14699280000.0,53636745000.0,0.0,0.0,0.0,0.0,10000000000.0,10000000000.0,10000000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17915000000.0,17915000000.0,17915000000.0,17915000000.0,3915000000.0,3777220904.0,3777220904.0,3777220904.0,3915000000.0,3915000000.0,3915000000.0,3915000000.0,3306836560.0,17306836560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1. Đầu tư vào công ty con,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2. Đầu tư vào công ty liên kết, liên doanh",0.0,0.0,0.0,,0.0,0.0,0.0,2087600000.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000000.0,10000000000.0,10000000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17735000000.0,17915000000.0,17915000000.0,17915000000.0,17915000000.0,3915000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Đầu tư khác vào công cụ vốn,1000000000.0,1000000000.0,1000000000.0,,1591000000.0,1585400000.0,1907600000.0,0.0,4289600000.0,26549600000.0,,26549600000.0,,11549600000.0,,1912600000.0,,30716210000.0,1912600000.0,14699280000.0,62051306000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3915000000.0,3915000000.0,3915000000.0,3915000000.0,3915000000.0,3915000000.0,3915000000.0,3915000000.0,17915000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Dự phòng giảm giá đầu tư tài chính dài hạn,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,-7347020000.0,,0.0,,0.0,0.0,0.0,-8414561000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-137779096.0,-137779096.0,-137779096.0,0.0,0.0,0.0,0.0,-608163440.0,-608163440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VI. Tổng tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75335119.0,82595911.0,89306326.0,155360513.0,125205311.0,135894188.0,84607721.0,55813815.0,31724613.0,30926762.0,6087882.0,30128482.0,24490000.0,57979021.0,17143000.0,13469500.0,9796000.0,6122500.0,2449000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61101091.0,53463454.0,45825817.0,113844433.0,45114179.0,30194723.0,15275269.0,68183086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1. Chi phí trả trước dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35673182.0,82595911.0,89306326.0,,125205311.0,,84607721.0,,31724613.0,,6087882.0,30128482.0,24490000.0,57979021.0,17143000.0,13469500.0,9796000.0,6122500.0,2449000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61101091.0,53463454.0,45825817.0,113844433.0,45114179.0,30194723.0,15275269.0,68183086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
