Item,Q4 2006,Q4 2007,Q4 2008,Q4 2009,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15. Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II. Nợ dài hạn,846290390.0,270428455.0,4522370257.0,20805662662.0,27807885026.0,26806341525.0,18161489477.0,30359377909.0,25943424403.0,25060467781.0,21837262332.0,26715079590.0,19837636206.0,16533140084.0,13539417409.0,13664724227.0,12595007552.0,11717128575.0,16273998782.0,3561746931.0,2436706395.0,6496883934.0,42936956128.0,82448536286.0,99817178945.0,119562083957.0,122351970616.0,110636315991.0,113166141567.0,129318952700.0,112886476718.0,112119682162.0,93819263829.0,96022598042.0,85836752006.0,56576996341.0,59238911921.0,61022878895.0,45048887601.0,45996879399.0,44658215081.0,46218041661.0,26867251424.0,27803064509.0,28561223299.0,29191529100.0,9172776682.0,9279762279.0,10754303963.0,11142623719.0,8973661733.0,7251464021.0,6512591393.0,8066051175.0,9042784723.0,9155173485.0
1. Phải trả người bán dài hạn,0.0,2450000.0,0.0,473422306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60236948461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Phải trả dài hạn khác,0.0,230000000.0,704706868.0,0.0,5138141706.0,2308231305.0,915816306.0,797816306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46167680.0,629542680.0,1528812400.0,1403812400.0,1603790400.0,1603790400.0,1603790400.0,1533360400.0,1341071400.0,1361458900.0,2591698900.0,2591698900.0,2591698900.0,2591698900.0,2591698900.0,2507289700.0
6. Vay và nợ thuê tài chính dài hạn,830000000.0,0.0,230000000.0,4616387000.0,6910937000.0,8739303900.0,2988400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4263132181.0,33290524217.0,78336663669.0,92316342854.0,112661874434.0,114012260006.0,102308993668.0,99336953560.0,101534456241.0,83516435834.0,85473506210.0,69031806265.0,71174637323.0,73346609549.0,56576996341.0,58452981487.0,0.0,42685903131.0,44142001068.0,42703601070.0,43694319650.0,23358025745.0,24418838830.0,25262000040.0,25892305841.0,5791188423.0,6400077763.0,7006634804.0,7355301076.0,0.0,0.0,0.0,0.0,0.0,0.0
7. Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8. Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000000.0,1500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9. Dự phòng trợ cấp mất việc làm,16290390.0,37978455.0,98416959.0,355900143.0,355900143.0,355900143.0,533214985.0,666855985.0,804086955.0,807880955.0,967513551.0,997042631.0,1102003547.0,1092503547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10. Dự phòng phải trả dài hạn,0.0,0.0,3489246430.0,15359953213.0,15402906177.0,15402906177.0,13724058186.0,18640300285.0,16864932115.0,15978524374.0,11816366586.0,9317745133.0,6819123680.0,7419688846.0,5084003391.0,5971478973.0,4892001063.0,4530701063.0,4522565776.0,1855378613.0,1895705384.0,1833258633.0,4644406991.0,4111872617.0,7500836091.0,6900209523.0,8339710610.0,8327322323.0,12329188007.0,26284496459.0,29370040884.0,26646175952.0,24787457564.0,24847960719.0,12490142457.0,0.0,785930434.0,785930434.0,2362984470.0,1854878331.0,1908446331.0,1894179331.0,1980413279.0,1980413279.0,1695432859.0,1695432859.0,1777797859.0,1346324116.0,2406597759.0,2425863743.0,6381962833.0,4659765121.0,3920892493.0,5474352275.0,6451085823.0,6647883785.0
11. Doanh thu chưa thực hiện dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2054405333.0,74405333.0,74062452.0,853382195.0,8200291826.0,4126067652.0,270612747.0,705079074.0,86798400.0,161337412.0,87859200.0,2809823993.0,274428211.0,541001011.0,400493120.0,5002024920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12. Quỹ phát triển khoa học và công nghệ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8200000000.0,8200000000.0,8200000000.0,8200000000.0,8200000000.0,7790441327.0,7750334944.0,7750334944.0,7606446854.0,7541669077.0,7098568312.0,8941609013.0,1431940107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B. Nguồn vốn chủ sở hữu,14511596924.0,72911346955.0,122872053379.0,193962325313.0,378207761499.0,412337351648.0,551335036116.0,584845696507.0,539143934721.0,573087693606.0,582101570698.0,623249294472.0,612560569193.0,641563682596.0,672565144842.0,641478201547.0,641495843886.0,617375328703.0,648291235568.0,625345575053.0,630928466575.0,631886123198.0,698885814070.0,699052271070.0,652308143378.0,670258747808.0,729453501644.0,701962620278.0,728566088312.0,763676338857.0,785648182954.0,803144355450.0,783609969672.0,783264125013.0,793937345345.0,792095158135.0,785285670765.0,786756225300.0,791303378861.0,794986621093.0,795948317106.0,799627842315.0,823964762635.0,827983735062.0,836386457561.0,840830848137.0,853451060355.0,860135965734.0,870937557109.0,853863580147.0,870331139744.0,887023169020.0,895336056480.0,908136209198.0,911231366428.0,914746136813.0
I. Vốn chủ sở hữu,14511596924.0,72911346955.0,122872053379.0,193962325313.0,378207761499.0,412337351648.0,551335036116.0,584845696507.0,539143934721.0,573087693606.0,582101570698.0,623249294472.0,612560569193.0,641563682596.0,672565144842.0,641478201547.0,641495843886.0,617375328703.0,648291235568.0,625345575053.0,630928466575.0,631886123198.0,698885814070.0,699052271070.0,652308143378.0,670258747808.0,729453501644.0,701962620278.0,728566088312.0,763676338857.0,785648182954.0,803144355450.0,783609969672.0,783264125013.0,793937345345.0,792095158135.0,785285670765.0,786756225300.0,791303378861.0,794986621093.0,795948317106.0,799627842315.0,823964762635.0,827983735062.0,836386457561.0,840830848137.0,853451060355.0,860135965734.0,870937557109.0,853863580147.0,870331139744.0,887023169020.0,895336056480.0,908136209198.0,911231366428.0,914746136813.0
1. Vốn đầu tư của chủ sở hữu,10000000000.0,51609380000.0,90324800000.0,122700000000.0,221250000000.0,225933020000.0,293000000000.0,293000000000.0,293000000000.0,293000000000.0,293000000000.0,293000000000.0,366249090000.0,366249090000.0,366249090000.0,366249090000.0,366249090000.0,366249090000.0,373399090000.0,379399090000.0,379399090000.0,379399090000.0,379399090000.0,379399090000.0,379399090000.0,409719980000.0,415719980000.0,415719980000.0,423719980000.0,465973750000.0,465973750000.0,475973750000.0,475973750000.0,475973750000.0,509282430000.0,509282430000.0,509282430000.0,509282430000.0,509282430000.0,509282430000.0,509282430000.0,509282430000.0,509282430000.0,509282430000.0,509282430000.0,509282430000.0,509282430000.0,509282430000.0,509282430000.0,509282430000.0,509282430000.0,509282430000.0,509282430000.0,509282430000.0,587788430000.0,587788430000.0
2. Thặng dư vốn cổ phần,0.0,869550000.0,10500000000.0,10500000000.0,135204000000.0,118111000000.0,117856900000.0,117832900000.0,117832900000.0,117832900000.0,118955650000.0,117832900000.0,117832900000.0,117832900000.0,117832900000.0,117832900000.0,117832900000.0,117832900000.0,117832900000.0,118432900000.0,118432900000.0,118432900000.0,118432900000.0,118432900000.0,118432900000.0,88112010000.0,88712010000.0,88712010000.0,88697010000.0,46443240000.0,46443240000.0,88677010000.0,88677010000.0,88677010000.0,88677010000.0,88677010000.0,88677010000.0,88677010000.0,88677010000.0,88677010000.0,88677010000.0,88677010000.0,88677010000.0,88677010000.0,88677010000.0,88677010000.0,88677010000.0,88677010000.0,88677010000.0,86677010000.0,86677010000.0,86423625180.0,86423625180.0,86423625180.0,86505733716.0,85409783716.0
3. Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3349334820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Vốn khác của chủ sở hữu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Cổ phiếu quỹ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15830384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71500000.0,-71500000.0,-71500000.0,0.0,-401500000.0,-1281500000.0,-1281500000.0,-1281500000.0,-1281500000.0,0.0,0.0,-1353000000.0,-1382900000.0,0.0,-236900000.0,-236900000.0,-3349334820.0,0.0,-3349334820.0,-3349334820.0,-3349334820.0,-3349334820.0,-3349334820.0,-3349334820.0,-3349334820.0,-3349334820.0,-3349334820.0,-3349334820.0,-3349334820.0,-1349334820.0,-1349334820.0,0.0,0.0,0.0,0.0,0.0
6. Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71500000.0,0.0,0.0,0.0,0.0,0.0,-1281500000.0,-1353000000.0,0.0,0.0,-217900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7. Chênh lệch tỷ giá hối đoái,0.0,0.0,0.0,-792970428.0,0.0,0.0,1069948121.0,0.0,0.0,0.0,513866659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33775255576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8. Quỹ đầu tư phát triển,2511450000.0,2511450000.0,2511450000.0,2511450000.0,2511450000.0,2511450000.0,2511450000.0,7011450000.0,14384145194.0,14384145194.0,10744145194.0,14384145194.0,16784145194.0,16784145194.0,16784145194.0,16784145194.0,19084145194.0,19084145194.0,19084145194.0,20584145194.0,20584145194.0,20584145194.0,20584145194.0,37029705091.0,35491718001.0,33837163966.0,0.0,33775255576.0,35775255576.0,35775255575.0,35775255576.0,35775255576.0,38575255576.0,37410255576.0,37410255576.0,37410255576.0,41410255576.0,41410255576.0,41410255576.0,41410255576.0,41410255576.0,41410255576.0,41410255576.0,41410255576.0,41410255576.0,41410255577.0,41410255576.0,41410255576.0,41410255576.0,41410255576.0,41410255576.0,41410255576.0,41410255576.0,41410255576.0,41410255576.0,41410255576.0
9. Quỹ dự phòng tài chính,351600000.0,351600000.0,351600000.0,351600000.0,351600000.0,351600000.0,351600000.0,1751600000.0,7017195346.0,7017195346.0,7017195346.0,7017195346.0,10517195346.0,10517195346.0,10517195346.0,10517195346.0,14017195346.0,14017195346.0,14017195346.0,15517195346.0,15517195346.0,15517195346.0,15517195346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10. Quỹ khác thuộc vốn chủ sở hữu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5243466369.0,5243466369.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000001.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0,5200000000.0
11. Lợi nhuận sau thuế chưa phân phối,1648546924.0,17557129568.0,19483512429.0,58665437278.0,18862523716.0,65402407678.0,136464593987.0,164168965859.0,105834735417.0,139779975351.0,150813876266.0,189949500999.0,98117312293.0,127119573127.0,158122848640.0,127038326641.0,119060259294.0,94940354328.0,118708122735.0,86164081271.0,85205827613.0,86184497132.0,142228732106.0,140497583077.0,97264633547.0,103483249220.0,168462731139.0,141137829288.0,157934477104.0,193183160521.0,221827190200.0,187326713251.0,164682542268.0,164503468386.0,141570998017.0,141640495081.0,136533221530.0,136712382044.0,139679712004.0,143222663525.0,143562273116.0,146617102964.0,171445521353.0,175424730343.0,184034567117.0,188745493928.0,201620253316.0,207974992043.0,218751856417.0,199330030023.0,215785607596.0,223008939285.0,228439481592.0,240056792603.0,165082685739.0,169892317122.0
LNST chưa phân phối lũy kế đến cuối kỳ trước,,,,,,,,,,,,,,,,,,,,,,,,,88712527976.0,88514355868.0,90731570776.0,136608735911.0,127527199875.0,127527199875.0,127527199875.0,179230717365.0,139227951856.0,129965716393.0,96401694853.0,141234319028.0,131744538076.0,131423460255.0,131744538077.0,141081323893.0,141081159184.0,141081159182.0,141081159182.0,171208015680.0,169659698406.0,169659698407.0,169659698407.0,201462354664.0,199902354663.0,169531165863.0,167619047236.0,212035194085.0,209635194085.0,210134898114.0,133734287337.0,166300672039.0
LNST chưa phân phối kỳ này,,,,,,,,,,,,,,,,,,,,,,,,,8552105571.0,14968893352.0,77731160363.0,4529093377.0,30407277229.0,65655960646.0,94299990325.0,8095995886.0,25454590412.0,34537751993.0,45169303164.0,406176053.0,4788683454.0,5288921789.0,7935173927.0,2141339632.0,2481113932.0,5535943782.0,30364362171.0,4216714663.0,14374868711.0,19085795521.0,31960554909.0,6512637379.0,18849501754.0,29798864160.0,48166560360.0,10973745200.0,18804287507.0,29921894489.0,31348398402.0,3591645083.0
12. Nguồn vốn đầu tư xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
