Item,Q4 2007,Q4 2008,Q2 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá hàng tồn kho,,,,-3459966274.0,-3459966274.0,-4290702313.0,-4290702313.0,-3654668243.0,-3654668243.0,-3274302862.0,-550988240.0,-761255656.0,-761255656.0,-659859091.0,-659859091.0,-783763239.0,-496863126.0,-313827085.0,-313827085.0,-690654883.0,-690654883.0,-908686537.0,-908686537.0,-908686537.0,-908686537.0,-938905837.0,-866439775.0,-486958173.0,-438710827.0,-228677688.0,-228677688.0,-228677688.0,-228677688.0,-228677688.0,-281432448.0,-353357953.0,-353357953.0,-183453265.0,-183453265.0,-183453265.0,-183453265.0,-183453265.0,-183453265.0,-171749732.0,-150103529.0,-150103529.0,-150103529.0,-150103529.0,-97348769.0,-97348769.0,-97348769.0,-97348769.0,-74868127.0,-74868127.0,-74868127.0,-100585306.0,-100585306.0,-100585306.0,-100585306.0
V. Tài sản ngắn hạn khác,,,,1062984603.0,434106331.0,958302006.0,327855150.0,502403254.0,6146904500.0,1768025149.0,1239519987.0,1013508753.0,1085868660.0,1164426004.0,1521941954.0,1897482440.0,1906279665.0,1571570316.0,1104259736.0,2338386777.0,1970577210.0,2286235344.0,4610686649.0,3389738483.0,7142265465.0,93617403.0,996322246.0,819068819.0,4205913260.0,5047111848.0,4450475153.0,3588616350.0,2690145644.0,2004772911.0,29711063.0,198738316.0,959321141.0,1648268920.0,1040794693.0,70662265.0,944602616.0,1371832649.0,190735590.0,143919078.0,475383349.0,136402990.0,582669957.0,648376551.0,718091729.0,1176876964.0,616513810.0,726242181.0,1564535437.0,945900501.0,1822882271.0,1082932790.0,1375848826.0,661162628.0,1441250039.0
1. Chi phí trả trước ngắn hạn,,,,0.0,0.0,69228800.0,69228800.0,0.0,16404156.0,0.0,0.0,0.0,115390100.0,182217792.0,182217792.0,61879692.0,0.0,0.0,0.0,0.0,5303000.0,5303000.0,5303000.0,5303000.0,22127945.0,10065104.0,7699000.0,85442377.0,45780988.0,78998538.0,11076940.0,60141065.0,102260679.0,25041064.0,29711063.0,121083791.0,404813791.0,274067705.0,268721453.0,61644578.0,157633513.0,129226049.0,180875752.0,134901391.0,466365662.0,116166534.0,478403262.0,355085293.0,549009276.0,1083344799.0,572171779.0,521957925.0,1027222193.0,885716987.0,1071843076.0,1038046408.0,1342685895.0,653524178.0,1319761351.0
2. Thuế giá trị gia tăng được khấu trừ,,,,75095814.0,371216176.0,0.0,162969489.0,466438622.0,519909495.0,705689206.0,560478352.0,485796153.0,480768815.0,481648567.0,544706928.0,1109021743.0,772262229.0,920298205.0,443672671.0,1383138245.0,384849345.0,330274993.0,1379644247.0,163694675.0,261429737.0,82028498.0,982499451.0,570894551.0,4116914029.0,4836835550.0,4378516150.0,3528475285.0,2548776119.0,1910713167.0,0.0,77654525.0,553478700.0,1365183528.0,750756636.0,0.0,776951416.0,1231172774.0,0.0,0.0,0.0,0.0,0.0,1156474.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,57330505.0
3. Thuế và các khoản phải thu Nhà nước,,,,0.0,0.0,4352076.0,42728797.0,0.0,448987863.0,635246660.0,144354286.0,0.0,22515063.0,35881899.0,184545093.0,146305375.0,1000000.0,101470723.0,0.0,6275659.0,129830852.0,153984186.0,273303590.0,34443467.0,30094193.0,1523801.0,6123795.0,162731891.0,43218243.0,131277760.0,60882063.0,0.0,39108846.0,69018680.0,0.0,0.0,1028650.0,9017687.0,21316604.0,9017687.0,10017687.0,11433826.0,9859838.0,9017687.0,9017687.0,20236456.0,104266695.0,292134784.0,169082453.0,93532165.0,44342031.0,204279256.0,537313244.0,60183514.0,751039195.0,44886382.0,33162931.0,7638450.0,64158183.0
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Tài sản ngắn hạn khác,,,,987888789.0,62890155.0,884721130.0,52928064.0,35964632.0,5161602986.0,427089283.0,534687349.0,527712600.0,467194682.0,464677746.0,610472141.0,580275630.0,1133017436.0,549801388.0,660587065.0,948972873.0,1450594013.0,1796673165.0,2952435812.0,3186297341.0,6828613590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B. Tài sản cố định và đầu tư dài hạn,,,,54238127516.0,55668432982.0,53253977193.0,54296088284.0,52726215596.0,50936511970.0,55722412228.0,54688670923.0,51967378055.0,50381087251.0,50100824622.0,49921273911.0,54201210967.0,54120188938.0,51721069287.0,51488810641.0,53169120645.0,51110329756.0,51211331606.0,51077915183.0,51954667317.0,51854851570.0,46190901041.0,45762193156.0,45333495271.0,92435591516.0,103576752362.0,101149890046.0,89120823828.0,86960407832.0,84702985745.0,82578175906.0,78742444042.0,77312647971.0,74028988652.0,71620676372.0,70431795438.0,68547865561.0,67504088824.0,64514538423.0,67996053872.0,70512504808.0,70110842258.0,65188618347.0,60701437756.0,60730775470.0,61927573345.0,58636924351.0,56030399910.0,56286198261.0,54594611540.0,53509884764.0,52067122264.0,50615939370.0,45920734266.0,44785071691.0
I. Các khoản phải thu dài hạn,,,,0.0,0.0,0.0,49652776.0,0.0,88252731.0,180385679.0,95972319.0,190102038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2283000000.0,2000000000.0,6000000000.0,6000000000.0,6000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0
1. Phải thu dài hạn của khách hàng,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Vốn kinh doanh tại các đơn vị trực thuộc,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Phải thu dài hạn nội bộ,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Phải thu về cho vay dài hạn,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Phải thu dài hạn khác,,,,0.0,0.0,0.0,49652776.0,0.0,88252731.0,180385679.0,95972319.0,190102038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2283000000.0,2000000000.0,6000000000.0,6000000000.0,6000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0
6. Dự phòng phải thu dài hạn khó đòi,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II. Tài sản cố định,,35477000000.0,25808000000.0,21866217496.0,20207208842.0,18021176739.0,17013635054.0,15497760596.0,14075199439.0,19984153449.0,19034825504.0,17154161917.0,15757973151.0,14823379222.0,14643828511.0,18153527829.0,18072505800.0,17766503708.0,17534245062.0,19041251697.0,18675532270.0,18315115843.0,18271699420.0,19232419360.0,19132606842.0,18691588082.0,18262880197.0,17834182312.0,63743717757.0,73529466196.0,71237109390.0,68957558279.0,66758487032.0,64668937961.0,62901653477.0,58681443902.0,57960298288.0,55547439591.0,53272536309.0,52024247524.0,49704708828.0,48583106167.0,46212245106.0,46055564748.0,47101691486.0,46814529062.0,46486377310.0,43704113170.0,42075081006.0,40387961563.0,37507799510.0,34627637458.0,34023349493.0,32477186406.0,31161963232.0,29935557457.0,28709151682.0,25086637094.0,24187223145.0
1. Tài sản cố định hữu hình,,31769000000.0,25808000000.0,21866217496.0,20207208842.0,18021176739.0,17013635054.0,15497760596.0,14075199439.0,12692702199.0,11743374254.0,9862710667.0,8466521901.0,7531927972.0,7352377261.0,9950076579.0,9869054550.0,9563052458.0,9330793812.0,10837800447.0,10472081020.0,10111664593.0,10068248170.0,11028968110.0,10929155592.0,10488136832.0,10059428947.0,9630731062.0,55540266507.0,65326014946.0,63033658140.0,60754107029.0,58555035782.0,56465486711.0,54698202227.0,50477992652.0,49756847038.0,47343988341.0,45069085059.0,43820796274.0,41501257578.0,40379654917.0,38008793856.0,37852113498.0,38898240236.0,38611077812.0,38282926060.0,35500661920.0,33871629756.0,32184510313.0,29304348260.0,26424186208.0,25819898243.0,24273735156.0,22958511982.0,21732106207.0,20505700432.0,16883185844.0,15983771895.0
Nguyên giá,,53465000000.0,49370000000.0,50053759729.0,49620739729.0,49079935729.0,49079935729.0,49079935729.0,49091663002.0,49130933002.0,49160933002.0,49160933002.0,49175660275.0,49251810762.0,49322922193.0,29241256753.0,28840978766.0,28443556246.0,27842932354.0,30717539627.0,30494255065.0,29971893985.0,30166893985.0,31417867055.0,31724731069.0,29681963573.0,29681963573.0,29370841716.0,76793486686.0,88810530355.0,88739416855.0,88739416855.0,88739416855.0,88507035903.0,88507035903.0,88507035903.0,90045732348.0,89905850853.0,89905850853.0,90977100763.0,90977100763.0,92181248671.0,92167657762.0,94381042308.0,97913675034.0,100272565944.0,102679235034.0,102679235034.0,103868155943.0,105028961307.0,105028961307.0,105028961307.0,106562269489.0,106562269489.0,106562269489.0,103762009930.0,103762009930.0,84483899739.0,84860349739.0
Giá trị hao mòn lũy kế,,-21696000000.0,,-28187542233.0,-29413530887.0,-31058758990.0,-32066300675.0,-33582175133.0,-35016463563.0,-36438230803.0,-37417558748.0,-39298222335.0,-40709138374.0,-41719882790.0,-41970544932.0,-19291180174.0,-18971924216.0,-18880503788.0,-18512138542.0,-19879739180.0,-20022174045.0,-19860229392.0,-20098645815.0,-20388898945.0,-20795575477.0,-19193826741.0,-19622534626.0,-19740110654.0,-21253220179.0,-23484515409.0,-25705758715.0,-27985309826.0,-30184381073.0,-32041549192.0,-33808833676.0,-38029043251.0,-40288885310.0,-42561862512.0,-44836765794.0,-47156304489.0,-49475843185.0,-51801593754.0,-54158863906.0,-56528928810.0,-59015434798.0,-61661488132.0,-64396308974.0,-67178573114.0,-69996526187.0,-72844450994.0,-75724613047.0,-78604775099.0,-80742371246.0,-82288534333.0,-83603757507.0,-82029903723.0,-83256309498.0,-67600713895.0,-68876577844.0
2. Tài sản cố định thuê tài chính,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giá trị hao mòn lũy kế,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Tài sản cố định vô hình,,3708000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7291451250.0,7291451250.0,7291451250.0,7291451250.0,7291451250.0,7291451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0
Nguyên giá,,3714000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7291451250.0,7291451250.0,7291451250.0,7291451250.0,7291451250.0,7291451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0,8203451250.0
Giá trị hao mòn lũy kế,,-6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III. Bất động sản đầu tư,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giá trị hao mòn lũy kế,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
