Item,Q4 2008,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Chi phí trả trước ngắn hạn,,62344999.0,,39675952.0,29060405.0,0.0,0.0,7500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28135556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24016978.0,16811887.0,12606796.0,4785038.0
2. Thuế giá trị gia tăng được khấu trừ,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2463159.0,0.0,8260864.0,73187552.0,102148944.0,0.0,0.0,177177607.0,0.0
3. Thuế và các khoản phải thu Nhà nước,,16984297.0,,0.0,4282812.0,13355838.0,16984297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372831.0,12728693.0,0.0,0.0,26861091.0,34517231.0,18425070.0,5273265.0,45174329.0,21588063.0,0.0,21141658.0,21141658.0,2352129.0,0.0,0.0,23341658.0,5722549.0,23341658.0,0.0,23341658.0,28341658.0,31341658.0,0.0,23341631.0,23341631.0,23341631.0,15441281.0,24910150.0,23341631.0,32569664.0,8255033.0,20170016.0,13117731.0,14577068.0,0.0,5277853.0
4. Giao dịch mua bán lại trái phiếu chính phủ,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Tài sản ngắn hạn khác,,216408103.0,,136800000.0,57900000.0,61000000.0,31000000.0,15000000.0,252000000.0,21000000.0,17000000.0,149700000.0,39140000.0,72700000.0,68000000.0,137000000.0,10000000.0,86000000.0,291000000.0,227446364.0,161128546.0,96000000.0,414480000.0,0.0,0.0,0.0,0.0,0.0,49000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B. Tài sản cố định và đầu tư dài hạn,,185242868.0,,7822482881.0,8108718869.0,8024140981.0,7925014179.0,2355955075.0,2335719629.0,2242975497.0,2230742525.0,2209502377.0,2276786673.0,2260926018.0,2234720413.0,2187055010.0,2178621677.0,2170188344.0,2161755011.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2267310583.0,71222232.0,134583331.0,71233330.0,29000000.0,71222222.0,124000000.0,71222222.0,107615568.0,107615568.0,107615568.0,999713182.0,2311041364.0,4014339669.0,3960376273.0,3938633443.0,4592743755.0,5103166460.0,5334115635.0,5520762810.0,5495549985.0,8560291482.0,8415508636.0,6924398960.0,6912027545.0,18907456130.0,18895084715.0
I. Các khoản phải thu dài hạn,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29000000.0,0.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,14500000.0,14500000.0,58400000.0,58400000.0,6058400000.0,6058400000.0,58400000.0,58400000.0
1. Phải thu dài hạn của khách hàng,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Vốn kinh doanh tại các đơn vị trực thuộc,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Phải thu dài hạn nội bộ,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Phải thu về cho vay dài hạn,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000000.0,6000000000.0,0.0,0.0
5. Phải thu dài hạn khác,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29000000.0,0.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,14500000.0,14500000.0,58400000.0,58400000.0,58400000.0,58400000.0,58400000.0,58400000.0
6. Dự phòng phải thu dài hạn khó đòi,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II. Tài sản cố định,,185242868.0,,171762881.0,457998869.0,373420981.0,274294179.0,194200075.0,173964629.0,81220497.0,68987525.0,47747377.0,115031673.0,99171018.0,72965413.0,25300010.0,16866677.0,8433344.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989713182.0,989713182.0,989713182.0,989713182.0,964970352.0,952598937.0,940227522.0,927856107.0,915484692.0,903113277.0,5753065002.0,5616018636.0,865998960.0,853627545.0,841256130.0,828884715.0
1. Tài sản cố định hữu hình,87740242.0,185242868.0,,171762881.0,457998869.0,373420981.0,274294179.0,194200075.0,173964629.0,81220497.0,68987525.0,47747377.0,115031673.0,99171018.0,72965413.0,25300010.0,16866677.0,8433344.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá,160551567.0,357032610.0,,424497891.0,824998759.0,832511426.0,849147790.0,861775063.0,937402335.0,899688049.0,912008049.0,912008049.0,1000958049.0,1016867140.0,1016867140.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0,753454249.0
Giá trị hao mòn lũy kế,-72811325.0,-171789742.0,,-252735010.0,-366999890.0,-459090445.0,-574853611.0,-667574988.0,-763437706.0,-818467552.0,-843020524.0,-864260672.0,-885926376.0,-917696122.0,-943901727.0,-728154239.0,-736587572.0,-745020905.0,-753454238.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0,-753454249.0
2. Tài sản cố định thuê tài chính,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giá trị hao mòn lũy kế,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Tài sản cố định vô hình,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989713182.0,989713182.0,989713182.0,989713182.0,964970352.0,952598937.0,940227522.0,927856107.0,915484692.0,903113277.0,5753065002.0,5616018636.0,865998960.0,853627545.0,841256130.0,828884715.0
Nguyên giá,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989713182.0,989713182.0,989713182.0,989713182.0,989713182.0,989713182.0,989713182.0,989713182.0,989713182.0,989713182.0,5976711273.0,5976711273.0,989713110.0,989713110.0,989713110.0,989713110.0
Giá trị hao mòn lũy kế,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24742830.0,-37114245.0,-49485660.0,-61857075.0,-74228490.0,-86599905.0,-223646271.0,-360692637.0,-123714150.0,-136085565.0,-148456980.0,-160828395.0
III. Bất động sản đầu tư,,0.0,,7650720000.0,7650720000.0,7650720000.0,7650720000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá,,0.0,,7650720000.0,7650720000.0,7650720000.0,7650720000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,2161755000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giá trị hao mòn lũy kế,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV. Tài sản dở dang dài hạn,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1311328182.0,2738663091.0,2943063091.0,2950863091.0,3622144818.0,4124044818.0,4376494818.0,4549294818.0,4549294818.0,2741090000.0,2741090000.0,0.0,0.0,18007800000.0,18007800000.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. chi phí xây dựng cơ bản dở dang,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1311328182.0,2738663091.0,2943063091.0,2950863091.0,3622144818.0,4124044818.0,4376494818.0,4549294818.0,4549294818.0,2741090000.0,2741090000.0,0.0,0.0,18007800000.0,18007800000.0
V. Các khoản đầu tư tài chính dài hạn,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1. Đầu tư vào công ty con,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2. Đầu tư vào công ty liên kết, liên doanh",,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Đầu tư khác vào công cụ vốn,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Dự phòng giảm giá đầu tư tài chính dài hạn,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Đầu tư nắm giữ đến ngày đáo hạn,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VI. Tổng tài sản dài hạn khác,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105555583.0,71222232.0,134583331.0,71233330.0,29000000.0,71222222.0,124000000.0,42222222.0,107615568.0,97615568.0,97615568.0,0.0,0.0,275963396.0,17600000.0,12800000.0,8000000.0,28894120.0,19764710.0,41483300.0,28641890.0,7736480.0,0.0,0.0,0.0,0.0,0.0
1. Chi phí trả trước dài hạn,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126666700.0,42222232.0,105583331.0,42233330.0,0.0,42222222.0,95000000.0,42222222.0,97615568.0,97615568.0,97615568.0,0.0,0.0,275963396.0,17600000.0,12800000.0,8000000.0,28894120.0,19764710.0,41483300.0,28641890.0,7736480.0,0.0,0.0,0.0,0.0,0.0
2. Tài sản Thuế thu nhập hoãn lại,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
