Item,Q4 2007,Q4 2008,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q4 2011,Q2 2012,Q4 2012,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Phải trả người bán ngắn hạn,33669493816.0,45202208001.0,25475085973.0,,62123047630.0,26531779569.0,56532734635.0,61327641550.0,34405014876.0,46507001256.0,64782386797.0,22310905984.0,14223578235.0,31562849169.0,36338602941.0,22013094353.0,24457060793.0,33392218061.0,44125547697.0,12888394316.0,54662030024.0,121795953045.0,40114771091.0,43064433413.0,20846611423.0,31938221755.0,35511052412.0,40682230295.0,81541692587.0,113467939435.0,77997924405.0,40221451767.0,69877089428.0,111949305723.0,117609914347.0,44982630229.0,55331707969.0,70333020474.0,78659127435.0,47983432261.0,47909257017.0,83365265152.0,163520835773.0,73093819165.0,58588702350.0,50467810195.0,85558060299.0,66661433992.0,83112090728.0,83413958492.0,129025608555.0,183641500163.0,118529649853.0,109331672509.0
4. Người mua trả tiền trước,12426757463.0,27167925825.0,27240931202.0,,8142315200.0,33484417246.0,28055677095.0,25585276973.0,17832070931.0,20783527497.0,105300676846.0,11414010696.0,59995352005.0,27250216598.0,71949804922.0,72882253286.0,13539117719.0,56484767471.0,47660130253.0,15528377255.0,48569870627.0,66536824961.0,53831314300.0,47655513752.0,50997809607.0,81727381244.0,73651707081.0,66898612228.0,62092933658.0,99636493422.0,43737715977.0,39449855581.0,42711337364.0,54253596690.0,55816104065.0,37040236722.0,45241127808.0,37753449706.0,35629414268.0,41954094998.0,38904774740.0,54855969206.0,105203968285.0,20566249386.0,25268376001.0,48363342598.0,64202501918.0,40432534190.0,41360403705.0,67811923079.0,144829692324.0,53192813072.0,58069065066.0,73122345570.0
5. Thuế và các khoản phải nộp nhà nước,6354553925.0,10091972411.0,4840565693.0,,29639738790.0,21772115396.0,16474524148.0,23741020640.0,13511708949.0,8907673740.0,533513383.0,2153873904.0,4178301599.0,2043899666.0,4878701122.0,297882350.0,800289605.0,513413113.0,2007506710.0,549206455.0,272206420.0,678897725.0,9811122788.0,1837981839.0,1733959313.0,359172895.0,5231900938.0,550804227.0,531495792.0,1467549707.0,5231421862.0,960165926.0,551228899.0,1926465521.0,2751361620.0,195951804.0,600480405.0,1776615700.0,2015281056.0,2324894268.0,672418854.0,282451502.0,525234376.0,3201002973.0,398123006.0,1169715519.0,10287731716.0,89844849.0,42769502.0,79216803.0,204223060.0,495096305.0,136285863.0,653255865.0
6. Phải trả người lao động,1095768179.0,2236288902.0,72296235.0,,1124154753.0,1710067119.0,1743268793.0,1919293399.0,2289241754.0,2796982294.0,1675498956.0,2298791648.0,1408328445.0,1566264843.0,2422583508.0,1707794971.0,1621825961.0,1619722023.0,2110775443.0,1073950012.0,215065739.0,282750570.0,8714221128.0,1503885414.0,778413353.0,186596589.0,8610007643.0,70786063.0,148338353.0,1539238347.0,6744773796.0,159202302.0,1572977174.0,1387230599.0,17797770853.0,1343401039.0,2893673603.0,2882803983.0,3547600271.0,5952642989.0,3141885168.0,2647244407.0,1307899362.0,9071244823.0,2340952690.0,2723453342.0,7404607452.0,10865722565.0,9127908579.0,3350886353.0,3688398111.0,10218387537.0,10317326608.0,2742895308.0
7. Chi phí phải trả ngắn hạn,51746842.0,195287500.0,594892490.0,,4552804579.0,4090720716.0,4624147135.0,2579946541.0,6449297955.0,3835562811.0,4802669336.0,4520308696.0,80145489277.0,7268905934.0,5268087354.0,655283357.0,2673435775.0,5936985286.0,1954505057.0,1648626290.0,1878431446.0,1013615161.0,1008147027.0,20806154.0,24340000.0,41502400.0,1178739400.0,150418773.0,41502400.0,41502400.0,467551818.0,0.0,4204236842.0,4162386180.0,3941780338.0,203162496.0,43162496.0,1113728656.0,1505856141.0,0.0,0.0,5953617733.0,5056145053.0,4922524000.0,7973832327.0,881075000.0,1453700000.0,769772772.0,1589914104.0,1723489934.0,49999998.0,2165027216.0,542320959.0,979326242.0
8. Phải trả nội bộ ngắn hạn,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,62757500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59839242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28225135304.0,-29912135304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,0.0,0.0,0.0,,3884164033.0,3884164033.0,3884164033.0,2524057404.0,1234108194.0,62757500.0,0.0,555344509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55172389.0,0.0,0.0,2468886896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10. Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1474049946.0,1505678661.0,1410792512.0,1410792513.0,1410792512.0,-1058094384.0,262858000.0,297858000.0,297858000.0,297858000.0,262858000.0,262858000.0,262858000.0,262858000.0,262858000.0,2640631780.0,2708631780.0,2708631780.0,1305441780.0,1268823780.0,1864355780.0,2052355780.0,1042583780.0,789682500.0,789682500.0,1043192500.0,354220000.0,5984189886.0,5730987386.0,726194167.0,9161230629.0,3102569500.0,5380992924.0,10593300978.0
11. Phải trả ngắn hạn khác,25913198215.0,1022050196.0,2768630599.0,,34950757412.0,38483910124.0,1138767900.0,1065702620.0,26565852966.0,83572035168.0,25812774526.0,77772121621.0,107915997025.0,76360330967.0,79935852855.0,79664829377.0,79932501880.0,79346567842.0,105460861940.0,74845238070.0,77896708824.0,78677472963.0,3127659565.0,78206265782.0,78298582267.0,77709877037.0,82242228226.0,80255596259.0,77603423029.0,77434769194.0,81551122777.0,77539835218.0,81873248382.0,67032939943.0,67036492907.0,82123052397.0,82014364821.0,82383223249.0,83621989506.0,82410182949.0,80234016819.0,80180355906.0,80182995285.0,78428302871.0,78092266552.0,93641987505.0,102900238699.0,82070915039.0,82509916130.0,78390215828.0,81085406781.0,78266931065.0,77968699098.0,78146342856.0
12. Dự phòng phải trả ngắn hạn,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1733501.0,0.0,883501.0,0.0,0.0,0.0,0.0,883501.0,883501.0,586621416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3046901762.0,1681387904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11200000000.0,11200000000.0,0.0,0.0,11200000000.0,11200000000.0,0.0,0.0,0.0,0.0,0.0
13. Quỹ khen thưởng phúc lợi,7489275711.0,15380308.0,-1801636078.0,-3294426684.0,0.0,310503548.0,-1205518067.0,-2616292082.0,4800529678.0,0.0,1537853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11200000000.0,11200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14. Quỹ bình ổn giá,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15. Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II. Nợ dài hạn,1590588417.0,36098588372.0,36598588372.0,36598588372.0,40765678372.0,36818496750.0,76775571622.0,143693585702.0,40672363826.0,32725927715.0,28607193848.0,25344016754.0,1553586500.0,23735577882.0,24559111424.0,24423962063.0,21366569985.0,21017860620.0,1897301688.0,30421219268.0,25409450690.0,25907054651.0,21354925418.0,20236574512.0,20810542627.0,20508055510.0,3561457311.0,2463725949.0,1791632476.0,1540935198.0,3276516656.0,4240615093.0,3483059984.0,40291530248.0,42312437923.0,2026656530.0,2308094530.0,2249040448.0,3164820448.0,2225388470.0,2123106269.0,1959463868.0,1103594732.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0
1. Phải trả người bán dài hạn,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Chi phí phải trả dài hạn,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28225135304.0,29395366401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Phải trả nội bộ dài hạn,0.0,0.0,0.0,,0.0,0.0,35751744250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55172389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Phải trả dài hạn khác,0.0,36098588372.0,36598588372.0,,37898588372.0,33951406750.0,38236088372.0,37929713372.0,36646963372.0,26696963372.0,26696963372.0,1460342187.0,660342187.0,575000000.0,746499164.0,705000000.0,705000000.0,705000000.0,739000000.0,9368761437.0,832249600.0,944619600.0,728549600.0,728549600.0,817949600.0,791649600.0,838492000.0,838492000.0,900332622.0,900332622.0,900332622.0,1044257442.0,1099153165.0,11759959975.0,11700333639.0,983629820.0,1265067820.0,1206013738.0,1121793738.0,1121793738.0,1019511537.0,873882137.0,0.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,0.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0
6. Vay và nợ thuê tài chính dài hạn,1559020315.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1118447996.0,0.0,0.0,-1118447991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067281991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,0.0,0.0,0.0,0.0,0.0
7. Trái phiếu chuyển đổi,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8. Thuế thu nhập hoãn lại phải trả,31568102.0,0.0,0.0,,0.0,0.0,0.0,0.0,1173436967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4408384466.0,5146316555.0,0.0,0.0,0.0,76511011.0,76511011.0,0.0,160572001.0,160572001.0,149455892.0,149455892.0,306434969.0,306434969.0,149455892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9. Dự phòng trợ cấp mất việc làm,0.0,0.0,0.0,,2146090000.0,2146090000.0,2066739000.0,1972790830.0,1936042609.0,1521494281.0,1359531078.0,0.0,0.0,0.0,0.0,612263160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10. Dự phòng phải trả dài hạn,0.0,0.0,0.0,,721000000.0,721000000.0,721000000.0,721000000.0,0.0,565463844.0,550699398.0,912657814.0,893244313.0,894127814.0,705913357.0,0.0,482449474.0,481655973.0,1158301688.0,0.0,587504917.0,587504917.0,2813735969.0,984807590.0,1822073833.0,1822073833.0,2646454300.0,1625233949.0,730727853.0,480030575.0,2226728142.0,3046901759.0,2077471850.0,0.0,0.0,1043026710.0,1043026710.0,1043026710.0,2043026710.0,1103594732.0,1103594732.0,1085581731.0,1103594732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11. Doanh thu chưa thực hiện dài hạn,0.0,0.0,0.0,,0.0,0.0,0.0,103070081500.0,915920878.0,3942006218.0,0.0,22971016753.0,0.0,22266450068.0,23106698903.0,23106698903.0,20179120511.0,19831204647.0,0.0,19934009835.0,19581311707.0,19228613579.0,18875915451.0,18523217322.0,18170519194.0,17817821066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12. Quỹ phát triển khoa học và công nghệ,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B. Nguồn vốn chủ sở hữu,290542929187.0,314683570931.0,314456018560.0,321191099748.0,325876326454.0,290056208081.0,402332595491.0,402605064275.0,420240888274.0,357384057760.0,333609117415.0,373460421495.0,377425389409.0,376542339556.0,377669555401.0,365217977213.0,367914673227.0,374084821952.0,378581797223.0,377830503880.0,355937892653.0,354409941599.0,376977260938.0,377612129539.0,355731642635.0,355136054899.0,329433031450.0,326690269835.0,329542952477.0,330651753648.0,331494636681.0,328253368887.0,330415351155.0,339562657903.0,325337056425.0,326815697104.0,326931732978.0,329522414155.0,331621871994.0,328767737293.0,325105946683.0,362998378717.0,329709846266.0,305493892256.0,299630478053.0,303212406595.0,319031364615.0,334165730398.0,322736516358.0,343549421794.0,349584476021.0,373149788407.0,412098746366.0,431798588453.0
I. Vốn chủ sở hữu,290542929187.0,314683570931.0,314456018560.0,321191099748.0,325876326454.0,290056208081.0,402332595491.0,402605064275.0,420240888274.0,357384057760.0,333609117415.0,373460421495.0,377425389409.0,376542339556.0,377669555401.0,365217977213.0,367914673227.0,374084821952.0,378581797223.0,377830503880.0,355937892653.0,354409941599.0,376977260938.0,377612129539.0,355731642635.0,355136054899.0,329433031450.0,326690269835.0,329542952477.0,330651753648.0,331494636681.0,328253368887.0,330415351155.0,339562657903.0,325337056425.0,326815697104.0,326931732978.0,329522414155.0,331621871994.0,328767737293.0,325105946683.0,362998378717.0,329709846266.0,305493892256.0,299630478053.0,303212406595.0,319031364615.0,334165730398.0,322736516358.0,343549421794.0,349584476021.0,373149788407.0,412098746366.0,431798588453.0
1. Vốn đầu tư của chủ sở hữu,85499980000.0,96090620000.0,96090620000.0,96090620000.0,96090620000.0,150427240000.0,178827240000.0,178827240000.0,182187240000.0,182187240000.0,179367157890.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0,225590300000.0
2. Thặng dư vốn cổ phần,170435150000.0,170435150000.0,170435150000.0,170198486551.0,170435150000.0,115795618323.0,175643866551.0,175643866551.0,179640530000.0,179640530000.0,179003866551.0,136237470000.0,136237470000.0,136237470000.0,136237470000.0,136237470000.0,136237470000.0,136237470000.0,136237470000.0,136237470000.0,136237470000.0,136237470000.0,136237470000.0,136237470000.0,136237470000.0,136237470000.0,136237470000.0,136237470000.0,136237470000.0,136237470000.0,136237470000.0,136237470000.0,134947483468.0,134947483467.0,115684530567.0,116974517100.0,116974517100.0,116974517100.0,116974517100.0,116974517100.0,116974517100.0,116974517100.0,116974517100.0,116974517100.0,116974517100.0,116974517100.0,116974517100.0,97570067828.0,97570067828.0,97570067828.0,97570067828.0,97570067828.0,97570067828.0,97570067828.0
3. Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Vốn khác của chủ sở hữu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Cổ phiếu quỹ,-1151640000.0,-1151640000.0,-1151640000.0,-1151640000.0,-1151640000.0,-1151640000.0,-1151640000.0,-1151640000.0,-10786260780.0,-16891275032.0,-16491275032.0,-19010756592.0,-19010756592.0,-19010756592.0,-19010756592.0,-19010756592.0,-19010756592.0,-19010756592.0,-19010756592.0,-19010756592.0,-19010756592.0,-19010756592.0,-19010756592.0,-19010756592.0,-19010756592.0,-19010756592.0,-60104042632.0,-60144990832.0,-60144990832.0,-60144990832.0,-60144990832.0,-60144990832.0,-58025509272.0,-58025509272.0,-38762556372.0,-38762556371.0,-38762556372.0,-38762556372.0,-38762556372.0,-38762556372.0,-38762556372.0,-38762556372.0,-38762556372.0,-38762556372.0,-38762556372.0,-38762556372.0,-38762556372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6. Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7. Chênh lệch tỷ giá hối đoái,0.0,0.0,0.0,214636077.0,-1800856659.0,86804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127374150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8. Quỹ đầu tư phát triển,6055955672.0,6055955672.0,12132604946.0,12132604946.0,3592071440.0,12788285298.0,12788285298.0,12788285298.0,12788285298.0,12788285298.0,12788285298.0,12788285298.0,12788285298.0,12788285298.0,12788285298.0,12788285298.0,12788285298.0,12788285298.0,12788285298.0,19628990984.0,19628990984.0,19628990984.0,19628990984.0,19628990984.0,19628990984.0,19628990984.0,19628990984.0,19628990984.0,19628990984.0,19628990984.0,19628990984.0,19628990984.0,19628990984.0,19628990984.0,19628990984.0,19628990983.0,19628990984.0,19628990984.0,19628990984.0,19628990984.0,19628990984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9. Quỹ dự phòng tài chính,2267738357.0,2267738357.0,10072694994.0,10072694994.0,0.0,12261618477.0,12261618477.0,12261618477.0,12261618477.0,6840705686.0,6840705686.0,6840705686.0,6840705686.0,6840705686.0,6840705686.0,6840705686.0,6840705686.0,6840705686.0,6840705686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10. Quỹ khác thuộc vốn chủ sở hữu,0.0,0.0,-88460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11. Lợi nhuận sau thuế chưa phân phối,22612543291.0,40758977813.0,26777631883.0,33158023504.0,58693740378.0,-82242116.0,23955906107.0,24226806203.0,44149271780.0,-6631560949.0,-27878493214.0,11014417103.0,14979385017.0,14096335164.0,15223551009.0,2771972821.0,5468668835.0,11638817560.0,16135792831.0,15384499488.0,-6235165638.0,-8036062793.0,14531256546.0,15439035248.0,-6438511653.0,-7037039392.0,8353223199.0,5651409784.0,8507032429.0,9612893597.0,10455776630.0,7217448839.0,8549936079.0,17697242828.0,3471641350.0,3384445392.0,3500481266.0,6091162443.0,8190620282.0,5336485581.0,1674694971.0,59196117989.0,25780211388.0,1691631528.0,-4171782675.0,-589854133.0,15229103887.0,7281269139.0,-4147944901.0,16571857166.0,22992680788.0,38133516503.0,45846739240.0,59914800323.0
LNST chưa phân phối lũy kế đến cuối kỳ trước,,,,,,,,,,,,,,,,,,,,,752639710.0,,,,2897077400.0,,,,8707213609.0,,0.0,,10556889715.0,,0.0,2263017149.0,,,,3384445392.0,,24965476565.0,,222452166.0,,4923631528.0,,4281800360.0,,7218896465.0,,7281269139.0,,38133516503.0
LNST chưa phân phối kỳ này,,,,,,,,,,,,,,,,,,,,,-6987805348.0,,,,-9335589053.0,,,,-200181180.0,,10455776630.0,,-2006953636.0,,0.0,1121428243.0,,,,1952040189.0,,34230641424.0,,1469179362.0,,-5513485661.0,,2999468779.0,,9352960701.0,,30852247364.0,,21781283820.0
12. Nguồn vốn đầu tư xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13. Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14. Lợi ích của cổ đông không kiểm soát,4823201867.0,226769089.0,187416737.0,475673676.0,17241295.0,17241295.0,7319058.0,8887746.0,203499.0,-549867243.0,-18978733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272946101.0,0.0,0.0,-272910101.0,-275850104.0,-272910101.0,-272910101.0,-272910101.0,-275850104.0,-272910101.0,-272910101.0,-275850104.0,-275850104.0,-275850104.0,-275850104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3724093431.0,3724093431.0,3817196800.0,3431427405.0,11855904076.0,43091639298.0,48723420302.0
II. Nguồn kinh phí và quỹ khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1. Nguồn kinh phí ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
